epoch, wall, LR,training_loss_virial,training_loss_f,training_loss,training_virial_mae,training_virial_rmse,training_f_mae,training_f_rmse,validation_loss_virial,validation_loss_f,validation_loss,validation_virial_mae,validation_virial_rmse,validation_f_mae,validation_f_rmse
        59, 9919.238,    0.001,         0.031411,       3.1571e-05,         0.031442,        0.852,         1.97,       0.0366,       0.0623,         0.031147,       3.2364e-05,         0.031179,        0.858,         1.96,       0.0353,       0.0631
        60, 10087.167,    0.001,         0.031424,       3.0675e-05,         0.031454,        0.851,         1.97,       0.0356,       0.0614,         0.031136,       3.3362e-05,         0.031169,         0.86,         1.96,       0.0367,       0.0641
        61, 10255.001,    0.001,         0.031406,       3.1416e-05,         0.031438,         0.85,         1.97,       0.0365,       0.0622,         0.031161,       3.3451e-05,         0.031195,        0.849,         1.96,       0.0365,       0.0642
        62, 10422.861,    0.001,         0.031399,       3.1289e-05,         0.031431,         0.85,         1.97,       0.0359,        0.062,         0.031044,       3.2546e-05,         0.031077,        0.862,         1.96,       0.0375,       0.0633
        63, 10590.825,    0.001,         0.031376,       3.0965e-05,         0.031407,        0.849,         1.97,        0.036,       0.0618,         0.031587,       3.5974e-05,         0.031623,        0.896,         1.98,       0.0405,       0.0665
        64, 10758.909,    0.001,         0.031425,       3.0965e-05,         0.031456,        0.853,         1.97,       0.0359,       0.0617,         0.031269,       3.3286e-05,         0.031302,         0.85,         1.97,       0.0368,        0.064
        65, 10927.032,    0.001,         0.031392,       3.1129e-05,         0.031423,        0.851,         1.97,       0.0361,       0.0619,         0.032337,       3.8236e-05,         0.032375,        0.956,            2,        0.043,       0.0686
        66, 11095.144,    0.001,         0.031382,       3.1159e-05,         0.031413,        0.851,         1.97,       0.0361,       0.0619,         0.031084,       3.2874e-05,         0.031117,        0.874,         1.96,       0.0368,       0.0636
        67, 11262.988,    0.001,         0.031377,       3.1437e-05,         0.031408,        0.853,         1.97,       0.0361,       0.0622,         0.031065,       3.3327e-05,         0.031098,        0.857,         1.96,       0.0367,        0.064
        68, 11430.890,    0.001,         0.031362,       3.1199e-05,         0.031394,        0.853,         1.96,       0.0363,       0.0619,          0.03113,       3.2012e-05,         0.031163,         0.87,         1.96,       0.0351,       0.0628
        69, 11598.754,    0.001,         0.031403,       3.1366e-05,         0.031434,        0.853,         1.97,        0.036,       0.0621,         0.031064,       3.3321e-05,         0.031097,        0.865,         1.96,       0.0367,        0.064
        70, 11766.643,    0.001,         0.031332,       3.1422e-05,         0.031364,        0.853,         1.96,       0.0362,       0.0622,         0.031207,       3.2732e-05,          0.03124,        0.865,         1.96,       0.0367,       0.0635
        71, 11934.361,    0.001,         0.031296,       3.2569e-05,         0.031328,        0.856,         1.96,       0.0373,       0.0633,         0.031377,       3.4036e-05,         0.031411,        0.893,         1.97,       0.0393,       0.0647
        72, 12102.149,    0.001,         0.031331,       3.1924e-05,         0.031363,        0.853,         1.96,       0.0368,       0.0627,         0.031187,       3.1836e-05,         0.031219,        0.876,         1.96,       0.0359,       0.0626
        73, 12269.898,    0.001,         0.031266,         3.24e-05,         0.031298,        0.856,         1.96,       0.0374,       0.0631,         0.031245,       3.1051e-05,         0.031276,        0.835,         1.96,       0.0342,       0.0618
        74, 12437.764,    0.001,         0.031194,       3.2171e-05,         0.031226,        0.854,         1.96,       0.0372,       0.0629,         0.031045,       3.2883e-05,         0.031078,        0.856,         1.96,       0.0365,       0.0636
        75, 12605.555,    0.001,         0.031233,       3.2988e-05,         0.031266,        0.854,         1.96,        0.038,       0.0637,         0.030986,       3.3729e-05,         0.031019,        0.868,         1.96,       0.0377,       0.0644
        76, 12773.462,    0.001,         0.031235,       3.1826e-05,         0.031267,        0.855,         1.96,        0.037,       0.0626,         0.031562,       3.5293e-05,         0.031597,        0.849,         1.97,       0.0385,       0.0659
        77, 12941.368,    0.001,          0.03128,       3.1965e-05,         0.031312,        0.851,         1.96,        0.037,       0.0627,         0.031186,       3.4314e-05,          0.03122,        0.854,         1.96,       0.0375,        0.065
        78, 13109.023,    0.001,          0.03117,       3.3746e-05,         0.031204,        0.857,         1.96,       0.0387,       0.0645,         0.031075,       3.2941e-05,         0.031108,        0.869,         1.96,       0.0373,       0.0637
        79, 13276.962,    0.001,         0.031235,       3.3638e-05,         0.031269,        0.857,         1.96,       0.0388,       0.0643,         0.031174,       3.8813e-05,         0.031213,        0.878,         1.96,       0.0414,       0.0691
        80, 13444.813,    0.001,         0.031229,       3.4336e-05,         0.031264,        0.857,         1.96,       0.0393,        0.065,          0.03117,       3.7405e-05,         0.031207,        0.883,         1.96,       0.0414,       0.0678
