epoch, wall, LR,training_loss_virial,training_loss_f,training_loss_e,training_loss,training_virial_mae,training_virial_rmse,training_f_mae,training_f_rmse,training_e_mae,training_e_rmse,validation_loss_virial,validation_loss_f,validation_loss_e,validation_loss,validation_virial_mae,validation_virial_rmse,validation_f_mae,validation_f_rmse,validation_e_mae,validation_e_rmse
       182, 18037.272,    0.001,         0.017333,       0.00016168,       0.00041467,         0.017909,        0.718,         1.45,       0.0751,         0.14,        0.172,        0.225,         0.019388,       0.00014903,       0.00050617,         0.020043,        0.727,         1.52,       0.0715,        0.135,        0.199,        0.249
       183, 18136.515,    0.001,         0.017546,       0.00016067,       0.00042062,         0.018128,        0.724,         1.46,       0.0748,         0.14,        0.173,        0.227,         0.021424,        0.0001613,       0.00045708,         0.022042,        0.789,          1.6,       0.0754,         0.14,        0.173,        0.237
       184, 18235.821,    0.001,          0.01826,       0.00016346,         0.000443,         0.018866,        0.733,         1.49,        0.076,        0.141,        0.178,        0.233,         0.021769,       0.00017903,       0.00037203,          0.02232,        0.803,         1.61,        0.076,        0.148,        0.166,        0.213
       185, 18335.440,    0.001,         0.018234,       0.00016097,       0.00044227,         0.018837,        0.732,         1.49,       0.0741,         0.14,        0.178,        0.232,         0.019468,       0.00017215,        0.0004893,          0.02013,        0.747,         1.52,       0.0764,        0.145,        0.187,        0.245
       186, 18435.137,    0.001,         0.017962,       0.00016217,       0.00043177,         0.018556,        0.728,         1.48,       0.0759,        0.141,        0.176,         0.23,         0.020312,       0.00012733,       0.00040859,         0.020848,        0.745,         1.56,        0.069,        0.125,        0.167,        0.224
       187, 18534.200,    0.001,         0.017537,       0.00016185,       0.00043314,         0.018132,        0.721,         1.46,       0.0758,        0.141,        0.177,         0.23,         0.020855,       0.00018033,        0.0003697,         0.021405,        0.772,         1.57,       0.0783,        0.149,        0.165,        0.213
       188, 18633.524,    0.001,         0.017653,       0.00016201,       0.00045664,         0.018271,        0.727,         1.47,       0.0762,        0.141,         0.18,        0.236,         0.022353,       0.00016221,       0.00040174,         0.022917,        0.819,         1.62,       0.0741,        0.141,         0.17,        0.222
       189, 18732.551,    0.001,         0.017228,       0.00016154,       0.00040558,         0.017795,        0.715,         1.45,       0.0754,         0.14,        0.172,        0.223,         0.021409,       0.00015929,       0.00032397,         0.021892,         0.78,         1.57,       0.0751,        0.139,        0.155,        0.199
       190, 18831.493,    0.001,         0.017122,       0.00016139,        0.0003963,          0.01768,        0.718,         1.45,       0.0764,         0.14,         0.17,         0.22,         0.020534,       0.00015892,        0.0003426,         0.021035,        0.763,         1.55,       0.0768,        0.139,        0.158,        0.205
       191, 18930.865,    0.001,         0.017441,       0.00016246,        0.0004196,         0.018023,        0.721,         1.46,        0.076,        0.141,        0.174,        0.226,         0.019986,        0.0001516,       0.00030365,         0.020441,        0.749,         1.54,       0.0722,        0.136,        0.149,        0.193
       192, 19030.304,    0.001,         0.017054,       0.00016401,        0.0004061,         0.017624,        0.716,         1.44,       0.0758,        0.142,        0.172,        0.223,         0.020164,       0.00014485,       0.00044362,         0.020752,         0.74,         1.54,       0.0726,        0.133,        0.186,        0.233
       193, 19129.865,    0.001,         0.016956,       0.00015975,       0.00040157,         0.017518,        0.708,         1.44,       0.0751,         0.14,        0.171,        0.221,         0.019881,       0.00015688,       0.00043314,         0.020471,        0.752,         1.53,       0.0753,        0.138,        0.176,         0.23
       194, 19229.706,    0.001,         0.016629,       0.00016074,       0.00039277,         0.017182,        0.707,         1.42,       0.0762,         0.14,        0.169,        0.219,         0.020277,       0.00014997,       0.00033744,         0.020764,         0.76,         1.55,        0.069,        0.136,        0.155,        0.203
       195, 19328.867,    0.001,         0.016592,       0.00016622,       0.00041695,         0.017175,        0.704,         1.42,       0.0753,        0.142,        0.173,        0.226,         0.020592,       0.00016431,       0.00033288,         0.021089,        0.756,         1.56,       0.0765,        0.142,        0.161,        0.201
       196, 19428.122,    0.001,         0.016746,       0.00016384,       0.00044974,         0.017359,        0.711,         1.43,       0.0764,        0.141,        0.179,        0.234,         0.019565,       0.00016061,       0.00035003,         0.020076,        0.748,         1.53,       0.0729,         0.14,        0.153,        0.207
       197, 19527.820,    0.001,         0.016512,       0.00016822,       0.00039304,         0.017073,        0.704,         1.42,       0.0765,        0.143,         0.17,        0.219,         0.019562,       0.00015973,       0.00026263,         0.019984,         0.74,         1.52,       0.0737,         0.14,         0.14,        0.179
       198, 19626.979,    0.001,         0.016316,       0.00016496,        0.0003841,         0.016865,        0.699,         1.41,       0.0761,        0.142,        0.167,        0.217,         0.021535,       0.00016593,       0.00044133,         0.022142,        0.776,         1.58,       0.0739,        0.142,        0.185,        0.232
       199, 19726.031,    0.001,         0.016301,       0.00016709,       0.00038336,         0.016852,        0.702,         1.41,       0.0764,        0.143,        0.167,        0.216,         0.021603,       0.00019288,       0.00030639,         0.022102,        0.809,          1.6,       0.0789,        0.154,        0.151,        0.194
       200, 19825.100,    0.001,          0.01617,       0.00016604,       0.00041581,         0.016751,        0.697,         1.41,       0.0759,        0.142,        0.171,        0.225,         0.020972,       0.00016907,       0.00040477,         0.021546,        0.773,         1.57,       0.0799,        0.144,        0.176,        0.223
