epoch, wall, LR,training_loss_virial,training_loss_f,training_loss,training_virial_mae,training_virial_rmse,training_f_mae,training_f_rmse,validation_loss_virial,validation_loss_f,validation_loss,validation_virial_mae,validation_virial_rmse,validation_f_mae,validation_f_rmse
        43, 2116.603,    0.001,         0.031689,       2.9995e-05,         0.031719,        0.854,         1.97,       0.0353,       0.0607,         0.031082,       3.3395e-05,         0.031115,        0.875,         1.96,       0.0377,       0.0641
        44, 2165.222,    0.001,         0.031503,       3.0365e-05,         0.031533,        0.854,         1.97,       0.0357,       0.0611,         0.031412,        3.313e-05,         0.031445,        0.858,         1.97,       0.0372,       0.0639
        45, 2213.870,    0.001,         0.031545,        3.102e-05,         0.031576,         0.86,         1.97,       0.0363,       0.0618,         0.031009,       3.2017e-05,         0.031042,        0.847,         1.96,        0.035,       0.0628
        46, 2262.746,    0.001,         0.031456,       3.1528e-05,         0.031487,        0.853,         1.97,       0.0365,       0.0622,         0.031325,       3.3765e-05,         0.031359,        0.891,         1.97,        0.038,       0.0645
        47, 2311.399,    0.001,         0.031452,        3.206e-05,         0.031484,        0.859,         1.97,       0.0372,       0.0628,         0.031399,        3.279e-05,         0.031432,         0.87,         1.97,       0.0362,       0.0635
        48, 2360.144,    0.001,         0.031368,       3.1203e-05,         0.031399,        0.857,         1.97,       0.0361,        0.062,         0.031077,       3.2273e-05,         0.031109,        0.842,         1.96,       0.0351,        0.063
        49, 2409.138,    0.001,         0.031456,       3.1875e-05,         0.031488,        0.855,         1.97,       0.0369,       0.0627,          0.03097,       3.2545e-05,         0.031002,         0.85,         1.96,       0.0359,       0.0633
        50, 2457.958,    0.001,          0.03134,       3.2917e-05,         0.031373,        0.859,         1.96,       0.0379,       0.0637,         0.031146,       3.1297e-05,         0.031177,        0.859,         1.96,       0.0347,       0.0621
        51, 2507.046,    0.001,         0.031362,       3.2563e-05,         0.031394,         0.86,         1.96,       0.0378,       0.0633,         0.031971,       3.4533e-05,         0.032006,        0.904,         1.99,       0.0382,       0.0652
        52, 2555.714,    0.001,         0.031329,       3.1874e-05,         0.031361,        0.859,         1.96,        0.037,       0.0626,          0.03117,       3.7748e-05,         0.031208,        0.879,         1.96,         0.04,       0.0682
        53, 2604.376,    0.001,         0.031197,       3.4005e-05,         0.031231,        0.859,         1.96,       0.0389,       0.0647,         0.031408,       3.4157e-05,         0.031442,        0.881,         1.97,       0.0379,       0.0649
        54, 2653.054,    0.001,         0.031398,       3.2926e-05,         0.031431,        0.858,         1.96,       0.0381,       0.0637,         0.031028,       3.3223e-05,         0.031061,        0.854,         1.96,       0.0371,        0.064
        55, 2701.584,    0.001,         0.031263,       3.2801e-05,         0.031295,        0.859,         1.96,       0.0378,       0.0636,         0.030968,       3.3408e-05,         0.031001,        0.867,         1.96,       0.0375,       0.0641
        56, 2750.469,    0.001,          0.03133,       3.3225e-05,         0.031363,        0.859,         1.96,       0.0386,       0.0639,         0.030978,       3.2081e-05,          0.03101,        0.852,         1.96,       0.0356,       0.0628
        57, 2799.342,    0.001,          0.03123,       3.2971e-05,         0.031263,        0.857,         1.96,        0.038,       0.0637,         0.031159,       3.5174e-05,         0.031194,         0.87,         1.96,       0.0385,       0.0658
        58, 2848.064,    0.001,         0.031252,       3.3346e-05,         0.031286,        0.858,         1.96,       0.0385,       0.0641,         0.031252,       3.7639e-05,          0.03129,        0.865,         1.97,       0.0422,       0.0681
        59, 2896.720,    0.001,         0.031196,       3.4541e-05,          0.03123,        0.861,         1.96,         0.04,       0.0652,         0.031431,       3.6215e-05,         0.031467,        0.885,         1.97,       0.0397,       0.0668
        60, 2945.392,    0.001,         0.031216,       3.3347e-05,         0.031249,        0.861,         1.96,       0.0389,       0.0641,         0.031185,       3.4456e-05,         0.031219,        0.864,         1.96,       0.0384,       0.0651
        61, 2994.170,    0.001,         0.031215,       3.3966e-05,         0.031248,        0.857,         1.96,       0.0397,       0.0647,         0.031268,       3.7793e-05,         0.031306,        0.871,         1.97,       0.0415,       0.0682
        62, 3043.579,    0.001,         0.031199,       3.3531e-05,         0.031232,        0.858,         1.96,       0.0387,       0.0642,         0.031037,       3.4178e-05,         0.031071,        0.864,         1.96,       0.0393,       0.0649
        63, 3092.662,    0.001,         0.031182,       3.3077e-05,         0.031215,        0.856,         1.96,       0.0388,       0.0638,         0.031889,       4.4852e-05,         0.031934,        0.923,         1.99,       0.0496,       0.0743
        64, 3141.697,    0.001,         0.031269,       3.3668e-05,         0.031303,         0.86,         1.96,       0.0393,       0.0644,         0.031324,       3.5796e-05,          0.03136,        0.867,         1.97,       0.0402,       0.0664
        65, 3190.787,    0.001,          0.03118,       3.4147e-05,         0.031214,         0.86,         1.96,       0.0398,       0.0648,         0.032187,       4.0127e-05,         0.032227,        0.953,         1.99,       0.0445,       0.0703
        66, 3239.587,    0.001,         0.031178,       3.3771e-05,         0.031211,        0.858,         1.96,       0.0395,       0.0645,         0.031179,       3.6622e-05,         0.031216,        0.883,         1.96,       0.0411,       0.0671
        67, 3288.478,    0.001,         0.031187,       3.4757e-05,         0.031221,        0.861,         1.96,       0.0403,       0.0654,          0.03133,       3.6258e-05,         0.031366,        0.884,         1.97,       0.0396,       0.0668
        68, 3337.229,    0.001,         0.031193,       3.3662e-05,         0.031227,        0.859,         1.96,       0.0391,       0.0643,          0.03114,       3.2682e-05,         0.031173,        0.874,         1.96,       0.0363,       0.0634
        69, 3385.933,    0.001,         0.031164,       3.4871e-05,         0.031199,         0.86,         1.96,         0.04,       0.0655,         0.031176,       3.5664e-05,         0.031212,        0.871,         1.96,       0.0397,       0.0663
        70, 3434.754,    0.001,         0.031129,       3.3947e-05,         0.031163,        0.858,         1.96,       0.0394,       0.0646,         0.031562,       4.0613e-05,         0.031602,        0.898,         1.97,       0.0446,       0.0707
        71, 3483.507,    0.001,         0.031111,       3.5548e-05,         0.031147,        0.863,         1.96,        0.041,       0.0662,         0.031446,       3.8514e-05,         0.031485,        0.903,         1.97,       0.0439,       0.0689
        72, 3532.400,    0.001,         0.031136,       3.4786e-05,         0.031171,         0.86,         1.96,       0.0402,       0.0654,         0.031339,       3.4418e-05,         0.031373,        0.883,         1.97,        0.039,       0.0651
        73, 3581.119,    0.001,         0.031078,       3.5872e-05,         0.031114,        0.862,         1.95,       0.0415,       0.0664,          0.03126,       3.2957e-05,         0.031293,        0.845,         1.97,       0.0369,       0.0637
        74, 3629.903,    0.001,         0.030947,       3.5004e-05,         0.030982,        0.862,         1.95,       0.0404,       0.0656,         0.031082,       3.4643e-05,         0.031117,         0.86,         1.96,       0.0389,       0.0653
        75, 3678.538,    0.001,         0.031034,       3.6035e-05,          0.03107,         0.86,         1.95,       0.0413,       0.0666,         0.031196,       3.5934e-05,         0.031232,         0.88,         1.96,       0.0396,       0.0665
        76, 3727.404,    0.001,         0.031031,       3.4519e-05,         0.031065,        0.859,         1.95,       0.0401,       0.0652,         0.031894,       3.6511e-05,         0.031931,         0.87,         1.99,       0.0405,        0.067
        77, 3776.192,    0.001,         0.031093,       3.4361e-05,         0.031128,        0.858,         1.96,       0.0399,        0.065,         0.031399,       4.1222e-05,          0.03144,        0.879,         1.97,       0.0442,       0.0712
        78, 3824.892,    0.001,          0.03094,       3.6771e-05,         0.030977,        0.863,         1.95,       0.0417,       0.0673,         0.031237,       3.6059e-05,         0.031273,         0.88,         1.96,       0.0406,       0.0666
        79, 3873.620,    0.001,         0.031052,       3.5924e-05,         0.031088,        0.862,         1.96,       0.0413,       0.0665,         0.031353,       4.1538e-05,         0.031394,        0.888,         1.97,       0.0445,       0.0715
        80, 3922.680,    0.001,         0.031057,       3.7092e-05,         0.031094,        0.864,         1.96,       0.0424,       0.0676,         0.031107,       3.7578e-05,         0.031145,        0.883,         1.96,       0.0419,        0.068
        81, 3971.791,    0.001,         0.030926,        3.654e-05,         0.030962,        0.864,         1.95,       0.0419,       0.0671,         0.031121,       3.5203e-05,         0.031156,        0.866,         1.96,       0.0397,       0.0658
        82, 4020.637,    0.001,          0.03102,       3.6091e-05,         0.031056,        0.863,         1.95,       0.0416,       0.0667,          0.03115,       3.5656e-05,         0.031186,        0.863,         1.96,       0.0402,       0.0663
        83, 4069.363,    0.001,         0.031039,        3.681e-05,         0.031076,        0.862,         1.95,       0.0424,       0.0673,         0.031286,       3.6531e-05,         0.031322,        0.868,         1.97,       0.0406,       0.0671
        84, 4118.166,    0.001,         0.030969,       3.5522e-05,         0.031005,        0.861,         1.95,       0.0412,       0.0661,         0.031109,         3.57e-05,         0.031145,         0.87,         1.96,       0.0401,       0.0663
        85, 4167.181,    0.001,         0.030921,       3.6463e-05,         0.030957,        0.862,         1.95,       0.0419,        0.067,         0.031131,       3.6736e-05,         0.031168,        0.869,         1.96,        0.041,       0.0673
        86, 4216.336,    0.001,         0.031002,       3.6265e-05,         0.031038,        0.861,         1.95,       0.0416,       0.0668,         0.031147,       3.8171e-05,         0.031185,        0.878,         1.96,       0.0434,       0.0686
        87, 4265.144,    0.001,         0.030842,       3.8909e-05,         0.030881,        0.865,         1.95,       0.0438,       0.0692,         0.031098,       3.4171e-05,         0.031132,        0.855,         1.96,       0.0386,       0.0649
