epoch, wall, LR,training_loss_virial,training_loss_f,training_loss_e,training_loss,training_virial_mae,training_virial_rmse,training_f_mae,training_f_rmse,training_e_mae,training_e_rmse,validation_loss_virial,validation_loss_f,validation_loss_e,validation_loss,validation_virial_mae,validation_virial_rmse,validation_f_mae,validation_f_rmse,validation_e_mae,validation_e_rmse
       180, 8622.149,    0.001,         0.024764,       0.00014576,       0.00064812,         0.025557,        0.839,         1.73,       0.0863,        0.133,        0.219,         0.28,         0.027382,       0.00013167,       0.00077061,         0.028284,        0.887,         1.82,       0.0826,        0.126,        0.238,        0.306
       181, 8669.772,    0.001,         0.024744,       0.00014558,       0.00064825,         0.025538,        0.836,         1.73,       0.0858,        0.133,        0.218,         0.28,         0.026043,       0.00016191,       0.00052217,         0.026727,        0.854,         1.78,       0.0901,         0.14,        0.196,        0.252
       182, 8717.278,    0.001,         0.024644,       0.00014688,       0.00068378,         0.025475,        0.845,         1.73,       0.0863,        0.133,        0.221,        0.288,         0.025402,       0.00012223,       0.00049569,          0.02602,        0.811,         1.76,       0.0786,        0.122,        0.195,        0.245
       183, 8765.780,    0.001,         0.024656,       0.00014781,       0.00061196,         0.025416,        0.835,         1.73,       0.0858,        0.134,         0.21,        0.272,          0.02709,       0.00018119,       0.00052431,         0.027795,        0.891,         1.81,       0.0952,        0.148,        0.199,        0.252
       184, 8813.351,    0.001,         0.024674,       0.00014671,       0.00066116,         0.025482,        0.836,         1.73,       0.0862,        0.133,        0.218,        0.283,         0.026014,       0.00012265,        0.0010238,          0.02716,        0.833,         1.78,       0.0801,        0.122,        0.278,        0.352
       185, 8861.727,    0.001,         0.024422,       0.00015152,       0.00061896,         0.025193,        0.836,         1.72,       0.0875,        0.135,        0.213,        0.274,         0.026598,       0.00019038,       0.00032671,         0.027116,        0.879,          1.8,        0.098,        0.152,        0.158,        0.199
       186, 8909.124,    0.001,         0.024508,       0.00014895,       0.00062609,         0.025283,        0.838,         1.72,       0.0869,        0.134,        0.212,        0.275,         0.026057,       0.00013749,       0.00049204,         0.026687,        0.835,         1.78,       0.0839,        0.129,        0.196,        0.244
       187, 8956.605,    0.001,         0.024639,       0.00014303,       0.00063195,         0.025414,        0.838,         1.73,       0.0853,        0.132,        0.212,        0.277,         0.025909,       0.00015046,       0.00066358,         0.026723,        0.845,         1.78,       0.0868,        0.135,        0.223,        0.284
       188, 9004.266,    0.001,         0.024507,       0.00014877,       0.00063603,         0.025292,         0.84,         1.72,       0.0861,        0.134,        0.215,        0.278,         0.025628,       0.00011913,       0.00096172,         0.026709,        0.829,         1.77,       0.0808,         0.12,        0.264,        0.342
       189, 9052.337,    0.001,         0.024307,       0.00014583,       0.00066005,         0.025113,        0.834,         1.72,       0.0858,        0.133,        0.218,        0.283,         0.025752,       0.00016076,       0.00093648,         0.026849,        0.834,         1.77,       0.0899,         0.14,        0.256,        0.337
       190, 9099.948,    0.001,         0.024293,          0.00015,       0.00057629,         0.025019,        0.834,         1.72,       0.0872,        0.135,        0.208,        0.264,         0.025849,       0.00012215,       0.00048252,         0.026454,        0.815,         1.77,       0.0786,        0.122,        0.191,        0.242
       191, 9147.791,    0.001,         0.024402,        0.0001496,       0.00059119,         0.025142,        0.837,         1.72,        0.087,        0.135,         0.21,        0.268,         0.027291,       0.00016736,       0.00077428,         0.028233,        0.885,         1.82,       0.0917,        0.142,        0.241,        0.307
       192, 9195.764,    0.001,         0.024337,       0.00014793,         0.000622,         0.025107,        0.833,         1.72,       0.0862,        0.134,        0.212,        0.275,          0.02768,       0.00020619,        0.0011822,         0.029068,         0.91,         1.83,          0.1,        0.158,         0.29,        0.379
       193, 9243.714,    0.001,         0.024123,       0.00015297,       0.00061531,         0.024891,        0.836,         1.71,       0.0876,        0.136,        0.212,        0.273,         0.026468,       0.00014109,       0.00063169,          0.02724,        0.849,         1.79,       0.0837,        0.131,        0.228,        0.277
       194, 9291.908,    0.001,          0.02448,       0.00014631,       0.00064402,          0.02527,        0.834,         1.72,       0.0856,        0.133,        0.215,        0.279,         0.027212,        0.0001383,       0.00066763,         0.028018,        0.881,         1.82,       0.0819,         0.13,        0.226,        0.285
